lat,lng,altitude-meters,distance-meters,distance-miles
30.234729,-97.757083,181.35,6808.51,4.2306
30.234559,-97.757208,181.83,6830.86,4.2445
30.234384,-97.757337,181.35,6853.84,4.2588
30.234248,-97.757432,180.87,6871.45,4.2697
30.234071,-97.757547,180.87,6893.92,4.2837
30.233894,-97.757667,182.31,6916.64,4.2978
30.233749,-97.757760,183.27,6935.35,4.3094
30.233600,-97.757859,182.79,6954.30,4.3212
30.233430,-97.757975,184.71,6976.32,4.3349
30.233256,-97.758086,186.63,6998.25,4.3485
30.233084,-97.758190,187.11,7019.87,4.3619
30.232935,-97.758282,187.59,7038.61,4.3736
30.232792,-97.758381,187.59,7056.90,4.3850
30.232615,-97.758496,187.59,7079.41,4.3989
30.232405,-97.758619,187.11,7105.49,4.4151
30.232250,-97.758723,186.63,7125.45,4.4275
30.232107,-97.758817,186.63,7143.71,4.4389
30.231959,-97.758914,186.63,7162.56,4.4506
30.231807,-97.759000,186.63,7181.35,4.4623
30.231648,-97.759105,187.11,7201.70,4.4749
30.231494,-97.759199,187.11,7220.99,4.4869
30.231285,-97.759336,187.11,7247.62,4.5035
30.231105,-97.759447,187.11,7270.33,4.5176
30.230895,-97.759575,187.11,7296.62,4.5339
30.230716,-97.759688,188.08,7319.25,4.5480
30.230546,-97.759805,187.59,7341.26,4.5616
30.230399,-97.759902,188.56,7359.99,4.5733
30.230224,-97.760007,189.04,7381.86,4.5869
30.230048,-97.760120,190.48,7404.16,4.6007
30.229903,-97.760203,189.52,7422.12,4.6119
30.229758,-97.760298,189.52,7440.58,4.6234
30.229581,-97.760411,190.48,7463.02,4.6373
30.229403,-97.760524,190.96,7485.52,4.6513
30.229232,-97.760629,190.96,7507.03,4.6647
30.229061,-97.760730,190.00,7528.37,4.6779
30.228889,-97.760825,189.52,7549.49,4.6910
30.228714,-97.760933,189.52,7571.50,4.7047
30.228536,-97.761029,188.08,7593.27,4.7182
30.228359,-97.761129,188.08,7615.14,4.7318
30.228149,-97.761247,188.08,7641.02,4.7479
30.227996,-97.761334,187.59,7659.91,4.7596
30.227820,-97.761436,187.59,7681.70,4.7732
30.227673,-97.761516,189.04,7699.74,4.7844
30.227492,-97.761615,190.48,7721.85,4.7981
30.227341,-97.761694,190.96,7740.17,4.8095
30.227093,-97.761818,190.00,7770.17,4.8282
30.226900,-97.761910,190.48,7793.39,4.8426
30.226714,-97.762007,190.96,7816.72,4.8571
30.226523,-97.762104,190.96,7839.05,4.8710
30.226330,-97.762201,190.96,7862.37,4.8854
30.226145,-97.762288,190.00,7884.57,4.8992
30.225959,-97.762383,189.04,7907.03,4.9132
30.225807,-97.762460,188.08,7925.44,4.9246
30.225625,-97.762550,188.56,7947.42,4.9383
30.225418,-97.762647,190.00,7972.14,4.9537
30.225244,-97.762730,191.44,7993.10,4.9667
30.225071,-97.762815,192.88,8013.96,4.9796
30.224950,-97.762865,191.92,8028.16,4.9885
30.224921,-97.762879,192.40,8031.78,4.9907
30.224746,-97.762984,192.40,8053.44,5.0042
30.224605,-97.763060,193.84,8070.94,5.0150
30.224434,-97.763154,194.80,8092.01,5.0281
30.224259,-97.763245,194.32,8113.20,5.0413
30.224119,-97.763335,195.28,8131.06,5.0524
30.223998,-97.763399,196.25,8145.62,5.0614
30.223863,-97.763483,195.77,8162.65,5.0720
30.223808,-97.763516,196.25,8169.44,5.0763
30.223683,-97.763718,197.21,8194.11,5.0916
30.223684,-97.763910,198.65,8212.58,5.1031
