Distance-miles,Lat,Lon,Altitude-meters
3.3460846556,30.24619072,-97.75108709,175.577881
3.3621189416,30.24598536,-97.75119698,184.710571
3.3751361794,30.24580012,-97.75126697,186.152466
3.388515981,30.24561538,-97.75133452,184.229858
3.4024950079,30.24541824,-97.75138943,180.865234
3.4164728231,30.24522437,-97.75145883,178.461914
3.428327718,30.24505807,-97.75150836,176.539307
3.4423822912,30.24485875,-97.75156846,175.09729
3.4588553024,30.24463034,-97.75164876,175.577881
3.4729341464,30.24443479,-97.75171682,175.577881
3.4889329335,30.24421267,-97.75179259,175.577881
3.4990599448,30.24408166,-97.75183794,174.616577
3.5118963512,30.24389558,-97.75191413,174.616577
3.5227824853,30.24374756,-97.751977,176.058594
3.5360060369,30.24356349,-97.75203894,175.09729
3.5500760822,30.24337012,-97.75211446,175.577881
3.5619279449,30.24320425,-97.75216727,175.577881
3.5757109727,30.24301163,-97.75222988,176.058594
3.5923107996,30.24278129,-97.75231177,175.09729
3.6090110586,30.24255205,-97.75240263,175.577881
3.6230040415,30.2423591,-97.75247723,176.058594
3.6388869305,30.24213865,-97.75255468,177.50061
3.6548056166,30.24191578,-97.75262408,179.903809
3.6683046593,30.24172165,-97.75265534,179.903809
3.6840491938,30.24149434,-97.75268669,180.384521
3.6976865847,30.24129862,-97.75272072,179.423218
3.7135564249,30.24107139,-97.7527654,177.981201
3.726710501,30.24088204,-97.75279708,178.461914
3.7398260397,30.24069336,-97.75282457,176.539307
3.7549385839,30.24047552,-97.75285617,175.577881
3.7697331603,30.2402622,-97.75288207,175.577881
3.7853068737,30.24003698,-97.75290395,176.539307
3.8030538757,30.23978393,-97.75296028,177.02002
3.8164807088,30.23959952,-97.7530327,177.50061
3.8280194564,30.23944907,-97.75311694,177.02002
3.8392572306,30.23930985,-97.75321224,176.539307
3.8528894641,30.23914782,-97.75334224,174.616577
3.8669106696,30.23898538,-97.75348457,176.058594
3.8809197336,30.23882202,-97.75362387,175.577881
3.8947591943,30.23866058,-97.75376125,176.058594
3.9107091292,30.23847878,-97.75392973,177.02002
3.9253790088,30.23831014,-97.75407985,177.02002
3.9413374441,30.23812364,-97.75423818,177.50061
3.9590170833,30.23791493,-97.7544106,177.50061
3.9748608321,30.23773304,-97.75457262,178.461914
3.9957799206,30.23749399,-97.75478845,180.384521
4.0078314236,30.23735326,-97.75490848,180.384521
4.0100435354,30.23732727,-97.75493036,180.865234
4.0215097752,30.23719677,-97.75504896,180.865234
4.038051653,30.23700189,-97.75520973,179.903809
4.0500621952,30.23685604,-97.75532012,178.461914
4.0658601304,30.23667173,-97.75547728,177.981201
4.0816808201,30.23648825,-97.75563662,179.903809
4.0935272209,30.23635162,-97.75575757,180.384521
4.1078469704,30.23619178,-97.75589554,181.826416
4.1150825437,30.23610536,-97.75598095,182.307129
4.1244731931,30.23599296,-97.75606963,181.345825
4.1358696468,30.23585122,-97.75616786,178.461914
4.1488255987,30.23570714,-97.75630767,178.942627
4.1626377502,30.23554453,-97.75644355,180.384521
4.1739313545,30.23541117,-97.7565536,180.384521
4.1852170612,30.23527949,-97.75666575,180.384521
4.2011360581,30.23508956,-97.75681788,179.903809
4.2170089306,30.23489585,-97.75696197,181.826416
4.2306077903,30.23472872,-97.75708275,181.345825
4.2444967059,30.23455856,-97.75720797,181.826416
4.2587761035,30.23438388,-97.75733722,181.345825
4.2697198822,30.23424768,-97.75743169,180.865234
4.2836849469,30.23407107,-97.75754652,180.865234
4.2977980843,30.23389447,-97.75766655,182.307129
4.3094272476,30.23374937,-97.75776017,183.268433
4.3212029551,30.23360026,-97.75785866,182.787842
4.3348843452,30.23342952,-97.75797542,184.710571
4.3485086935,30.23325644,-97.7580859,186.633179
4.3619409823,30.23308368,-97.75819,187.11377
4.373585624,30.23293457,-97.75828203,187.59436
4.3849544639,30.23279174,-97.75838085,187.59436
4.3989428983,30.23261488,-97.75849602,187.59436
4.4151440536,30.23240534,-97.75861857,187.11377
4.4275459911,30.23224968,-97.75872275,186.633179
